Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Text Area 29,Text Area 30,Text Area 31,Text Area 32,Text Area 33,Text Area 34,Text Area 35,Text Area 36,Text Area 37,Text Area 38,Text Area 39,Text Area 40,Text Area 41,Text Area 42,Text Area 43,Text Area 44,Text Area 45,Text Area 46,Text Area 47,Text Area 48,Text Area 49,Text Area 50,Text Area 51,Text Area 52,Text Area 53,Text Area 54,Text Area 55,Text Area 56,Text Area 57,Text Area 58,Text Area 59,Text Area 60,Text Area 61,Text Area 62,Text Area 63,Text Area 64,Text Area 65,Text Area 66,Text Area 67,Text Area 68,Text Area 69,Text Area 70,Text Area 71,Text Area 72,Text Area 73,Text Area 74,Text Area 75,Text Area 76,Text Area 77,Text Area 78,Text Area 79,Text Area 80,Text Area 81,Text Area 82,Text Area 83,Text Area 84,Text Area 85,Comments
51,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,organization_subprocess,PK,id_org_subprocess,integer,"FK,AK",id_organization,integer,"FK,AK",id_subprocess,integer,,created_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,users,PK,id_user,bigint,AK,email,character varying(255),,password_hash,character varying(255),,full_name,character varying(255),FK,id_primary_org,integer,,status,character varying(30),,mfa_enabled,boolean,,last_login_at,timestamp with time zone,,created_at,timestamp with time zone,,created_by,character varying(255),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,roles,PK,id_role,bigint,AK,code,character varying(80),,name,character varying(255),,description,text,,permissions,jsonb,,is_builtin,boolean,,created_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,permissions,PK,id_permission,bigint,AK,code,character varying(120),,name,character varying(255),,description,text,,module,character varying(100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,role_permissions,PK,id_role_permission,bigint,"FK,AK",id_role,bigint,"FK,AK",id_permission,bigint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,user_role_assignments,PK,id,bigint,"FK,AK",id_organization,integer,"FK,AK",id_user,bigint,"FK,AK",id_role,bigint,,is_recursive,boolean,,permissions_override,jsonb,,valid_from,timestamp with time zone,,valid_until,timestamp with time zone,FK,created_by,bigint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,risk_control_mapping,PK,id_risk_control,bigint,"FK,AK",id_risk,bigint,"FK,AK",id_control,bigint,,mitigation_effect,character varying(50),,effectiveness_pct,integer,,is_key_control,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,incidents,PK,id_incident,bigint,FK,affected_process_id,integer,AK,incident_code,character varying(80),FK,id_organization,integer,,title,character varying(255),,description,text,,reported_at,timestamp with time zone,FK,assigned_to,bigint,FK,reported_by,bigint,,detected_at,timestamp with time zone,,acknowledged_at,timestamp with time zone,,resolved_at,timestamp with time zone,,closed_at,timestamp with time zone,,impact_description,text,,root_cause,text,,resolution_summary,text,,lessons_learned,text,FK,incident_type_lu,bigint,FK,severity_lu,bigint,FK,status_lu,bigint,FK,source_lu,bigint,FK,affected_location_id,bigint,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,
59,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,entity_tags,PK,id_entity_tag,bigint,"FK,AK",id_tag,bigint,AK,entity_type,character varying(50),AK,entity_id,bigint,FK,assigned_by,bigint,,assigned_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,bcms_changes,PK,id,uuid,FK,id_organization,integer,AK,change_code,character varying(50),FK,requested_by,bigint,FK,approved_by,bigint,FK,verified_by,bigint,FK,created_by,bigint,,title,character varying(200),,description,text,,change_type,character varying(50),,change_category,character varying(30),,affected_entities,jsonb,,impact_assessment,text,,risk_level,character varying(20),,reason,text,,expected_benefits,text,,request_date,date,,approval_date,date,,rejection_reason,text,,status,character varying(30),,scheduled_date,date,,implementation_date,date,,implementation_notes,text,,rollback_plan,text,,verification_date,date,,verification_notes,text,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,
61,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,audits,PK,id_audit,bigint,AK,audit_code,character varying(80),,audit_type,character varying(50),,title,character varying(255),,objective,text,FK,id_organization,integer,FK,status_lu,bigint,,scope_description,text,FK,id_framework,bigint,FK,lead_auditor_id,bigint,,planned_start,date,,planned_end,date,,actual_start,date,,actual_end,date,,conclusion,text,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,audit_scope_items,PK,id_scope_item,bigint,FK,id_audit,bigint,,scope_type,character varying(30),,reference_entity,character varying(255),,reference_entity_id,bigint,,notes,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,risks,PK,id_risk,bigint,AK,risk_code,character varying(80),,title,character varying(255),,description,text,,risk_domain,character varying(20),,risk_scope,character varying(30),,target_process_type,character varying(30),FK,target_process_id,integer,,scenario,text,,cause,text,,effect,text,FK,status_lu,bigint,FK,owner_user_id,bigint,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,risk_treatments,PK,id_risk_treatment,bigint,FK,id_risk,bigint,FK,id_plan,bigint,,treatment_type,character varying(50),,description,text,FK,owner_user_id,bigint,,due_date,date,FK,status_lu,bigint,,created_at,timestamp with time zone,,update_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,bia_assessments,PK,id_bia,bigint,AK,bia_code,character varying(80),,scope,character varying(30),,target_process_type,character varying(30),,assessment_date,date,FK,reviewed_by,bigint,,version_label,character varying(50),FK,target_process_id,integer,FK,id_organization,integer,FK,status_lu,bigint,,version,int,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,notifications,PK,id_notification,bigint,,notification_type,character varying(50),,title,character varying(255),,message,text,FK,target_user_id,bigint,,is_read,boolean,,read_at,timestamp with time zone,,reference_entity,character varying(50),,reference_entity_id,bigint,,link_url,text,,created_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,crisis_actions,PK,id_action,bigint,FK,id_crisis,bigint,,action_order,integer,,action_description,text,FK,assigned_to,bigint,FK,status_lu,bigint,FK,priority_lu,bigint,,due_at,timestamp with time zone,,completed_at,timestamp with time zone,,outcome,text,,created_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,activation_criteria,PK,id_criterion,bigint,FK,id_plan,bigint,,criterion_code,character varying(80),,description,text,,threshold_value,character varying(255),FK,severity_lu,bigint,,is_auto_activate,boolean,,created_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,plan_sections,PK,id_section,bigint,FK,id_plan,bigint,,section_order,integer,,section_title,character varying(255),,section_content,text,,is_mandatory,boolean,,created_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,suppliers,PK,id_supplier,bigint,AK,supplier_code,character varying(80),,name,character varying(255),,tax_id,character varying(50),,website,character varying(255),,address,text,,city,character varying(100),,country_code,character(2),FK,supplier_type_lu,bigint,FK,risk_tier_lu,bigint,FK,criticality_lu,bigint,,contract_start,date,FK,id_organization,integer,,contract_end,date,,sla_summary,text,,is_active,boolean,,created_at,timestamp with time zone,,updated_at,timestamp with time zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
